appid,name,genre,positive_ratings,negative_ratings,total_ratings,negative_ratio
1000080,神明在上(Zengeon),Action;Adventure;Indie;RPG;Early Access,351,59,410,14.39
1000100,干支セトラ　陽ノ卷｜干支etc.　陽之卷,Adventure;Indie;RPG;Strategy,10,4,14,28.57
1000110,Jumping Master(跳跳大咖),Action;Adventure;Casual;Free to Play;Massively Multiplayer,20,7,27,25.93
1000130,Cube Defender,Casual;Indie,2,0,2,0.00
1000370,SurReal Subway,Indie,0,1,1,100.00
1000380,Rogue Reaper,Action;Adventure;Free to Play;Indie,216,70,286,24.48
1000480,Battle Motion,Action;Indie;RPG;Simulation;Early Access,8,2,10,20.00
1000540,Tactical Control,Casual;Free to Play;Indie;Strategy,23,4,27,14.81
1000600,The ScreaMaze,Indie,1,0,1,0.00
1000790,Flex Apocalypse Racing,Indie;Racing;Simulation;Sports,2,2,4,50.00
1000810,RogueCraft Squadron,Indie;Strategy,4,1,5,20.00
1000830,Gachi Finder 3000,Casual;Indie;Strategy,54,1,55,1.82
1000860,Allspace,Action;Massively Multiplayer;Simulation;Early Access,24,8,32,25.00
1000870,On Target VR Darts,Casual;Simulation;Sports;Early Access,0,1,1,100.00
1000880,REPTOMOM,Action;Casual;Indie;Early Access,0,1,1,100.00
1000980,Kill Tiger,Action;Adventure;Indie,1,0,1,0.00
1000990,Gun Beat,Action;Casual;Indie,8,2,10,20.00
1001070,Koi,Adventure;Casual;Indie,38,4,42,9.52
1001140,Angry Birds VR: Isle of Pigs,Casual,74,10,84,11.90
1001200,ROWROW,Casual;Indie;Strategy,10,0,10,0.00
1001240,VR Flight Simulator New York - Cessna,Simulation,7,11,18,61.11
1001390,VireFit,Simulation;Sports,0,3,3,100.00
1001430,Next Stop 3,Casual;Simulation;Strategy,4,0,4,0.00
1001450,The Town,Adventure;Indie,1,0,1,0.00
1001490,Tower Behind the Moon,Adventure;Indie;RPG,6,4,10,40.00
1001500,Chronicon Apocalyptica,Adventure;Indie;RPG,4,1,5,20.00
1001550,In Orbit,Indie;Simulation,3,2,5,40.00
1001570,GUIDE,Indie,1,0,1,0.00
1001640,Where the Bees Make Honey,Adventure;Indie;Simulation,7,11,18,61.11
1001660,The Demon Crystal,Action;Adventure;Casual;RPG,3,0,3,0.00
1001760,Xtreme League,Indie;Sports,0,2,2,100.00
1001860,Casual Desktop Game,Action;Casual;Free to Play;Indie;Early Access,49,5,54,9.26
1001880,aMAZE Valentine,Casual;Indie,13,2,15,13.33
1001910,Fused,Casual;Indie,6,0,6,0.00
1001980,Archeo: Shinar,Indie;Simulation;Strategy;Early Access,28,5,33,15.15
1002020,INTERPOINT,Action;Adventure;Indie;Early Access,20,7,27,25.93
1002100,Negligee: Love Stories,Adventure;Casual;Indie,7,11,18,61.11
1002180,Aussie Battler Tanks,Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation,1,1,2,50.00
1002200,Vasilis,Adventure;Indie;RPG,4,1,5,20.00
1002210,孤岛(Isolated Island),Casual,16,1,17,5.88
1002230,War of Three Kingdoms,Casual;Indie;Strategy,1,6,7,85.71
