genre,avg_negative_ratio,game_count
Accounting;Animation & Modeling;Audio Production;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production;Web Publishing,58.33,1
Accounting;Education;Software Training;Utilities;Early Access,10.00,1
Action,25.80,843
Action;Adventure,28.73,363
Action;Adventure;Casual,30.35,59
Action;Adventure;Casual;Free to Play;Early Access,22.94,2
Action;Adventure;Casual;Free to Play;Indie,25.35,14
Action;Adventure;Casual;Free to Play;Indie;Early Access,21.85,5
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer,28.29,1
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Early Access,69.15,1
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG,16.97,1
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,41.69,1
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Simulation,20.44,1
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy,57.04,6
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Racing;Simulation;Sports;Early Access,57.14,1
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Simulation;Strategy,50.00,1
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Strategy,50.82,1
Action;Adventure;Casual;Free to Play;Indie;RPG,32.61,4
Action;Adventure;Casual;Free to Play;Indie;RPG;Early Access,7.14,1
Action;Adventure;Casual;Free to Play;Indie;RPG;Simulation;Sports;Strategy,27.27,1
Action;Adventure;Casual;Free to Play;Indie;RPG;Simulation;Strategy,37.97,2
Action;Adventure;Casual;Free to Play;Indie;RPG;Strategy,43.41,3
Action;Adventure;Casual;Free to Play;Indie;RPG;Strategy;Early Access,56.58,1
Action;Adventure;Casual;Free to Play;Indie;Racing;RPG;Simulation;Sports,55.56,4
Action;Adventure;Casual;Free to Play;Indie;Racing;RPG;Simulation;Strategy,54.17,1
Action;Adventure;Casual;Free to Play;Indie;Simulation,12.99,1
Action;Adventure;Casual;Free to Play;Indie;Simulation;Early Access,19.21,1
Action;Adventure;Casual;Free to Play;Indie;Simulation;Strategy,26.65,3
Action;Adventure;Casual;Free to Play;Massively Multiplayer,30.61,2
Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,31.75,4
Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG;Simulation,25.39,1
Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy,45.00,1
Action;Adventure;Casual;Free to Play;Massively Multiplayer;Racing;RPG;Simulation,40.54,1
Action;Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports,25.04,1
Action;Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Strategy,70.00,1
Action;Adventure;Casual;Free to Play;Massively Multiplayer;Sports;Early Access,6.15,1
Action;Adventure;Casual;Free to Play;RPG;Strategy,29.66,2
Action;Adventure;Casual;Free to Play;Racing;Simulation;Sports,21.74,1
Action;Adventure;Casual;Indie,32.83,475
Action;Adventure;Casual;Indie;Early Access,28.07,56
Action;Adventure;Casual;Indie;Massively Multiplayer,17.49,7
Action;Adventure;Casual;Indie;Massively Multiplayer;Early Access,17.32,3
Action;Adventure;Casual;Indie;Massively Multiplayer;RPG,11.11,1
Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation;Strategy,85.84,1
Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,34.62,1
Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Strategy;Early Access,33.71,1
Action;Adventure;Casual;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy,51.38,3
Action;Adventure;Casual;Indie;Massively Multiplayer;Racing;Simulation;Sports;Early Access,14.00,1
Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation,58.25,3
Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation;Early Access,25.00,1
Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation;Strategy,29.17,1
Action;Adventure;Casual;Indie;Massively Multiplayer;Strategy,39.83,2
Action;Adventure;Casual;Indie;RPG,32.19,87
Action;Adventure;Casual;Indie;RPG;Early Access,21.51,15
Action;Adventure;Casual;Indie;RPG;Simulation,32.61,21
Action;Adventure;Casual;Indie;RPG;Simulation;Early Access,38.06,8
Action;Adventure;Casual;Indie;RPG;Simulation;Sports;Strategy,0.00,2
Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,47.87,24
Action;Adventure;Casual;Indie;RPG;Simulation;Strategy;Early Access,27.67,4
Action;Adventure;Casual;Indie;RPG;Sports,70.00,2
Action;Adventure;Casual;Indie;RPG;Strategy,27.99,30
Action;Adventure;Casual;Indie;RPG;Strategy;Early Access,50.20,5
Action;Adventure;Casual;Indie;Racing,21.07,8
Action;Adventure;Casual;Indie;Racing;Early Access,23.02,3
Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Early Access,55.33,1
Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports,44.63,2
Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy,45.64,3
