appid,name,price,positive_ratings,negative_ratings,total_ratings
1000080,神明在上(Zengeon),6.19,351,59,410
1000100,干支セトラ　陽ノ卷｜干支etc.　陽之卷,10.29,10,4,14
1000110,Jumping Master(跳跳大咖),0.00,20,7,27
1000130,Cube Defender,2.09,2,0,2
1000370,SurReal Subway,2.89,0,1,1
1000380,Rogue Reaper,0.00,216,70,286
1000480,Battle Motion,7.19,8,2,10
1000540,Tactical Control,0.00,23,4,27
1000600,The ScreaMaze,0.79,1,0,1
1000790,Flex Apocalypse Racing,0.79,2,2,4
1000810,RogueCraft Squadron,11.39,4,1,5
1000830,Gachi Finder 3000,0.79,54,1,55
1000860,Allspace,0.00,24,8,32
1000870,On Target VR Darts,10.29,0,1,1
1000880,REPTOMOM,3.99,0,1,1
1000980,Kill Tiger,5.19,1,0,1
1000990,Gun Beat,5.19,8,2,10
1001070,Koi,0.79,38,4,42
1001140,Angry Birds VR: Isle of Pigs,11.39,74,10,84
1001200,ROWROW,0.79,10,0,10
1001240,VR Flight Simulator New York - Cessna,7.19,7,11,18
1001390,VireFit,8.29,0,3,3
1001430,Next Stop 3,5.19,4,0,4
1001450,The Town,1.69,1,0,1
1001490,Tower Behind the Moon,5.19,6,4,10
1001500,Chronicon Apocalyptica,4.79,4,1,5
1001550,In Orbit,0.00,3,2,5
1001570,GUIDE,3.99,1,0,1
1001640,Where the Bees Make Honey,7.19,7,11,18
1001660,The Demon Crystal,7.19,3,0,3
1001760,Xtreme League,5.19,0,2,2
1001860,Casual Desktop Game,0.00,49,5,54
1001880,aMAZE Valentine,0.79,13,2,15
1001910,Fused,6.99,6,0,6
1001980,Archeo: Shinar,10.29,28,5,33
1002020,INTERPOINT,11.49,20,7,27
1002100,Negligee: Love Stories,10.99,7,11,18
1002180,Aussie Battler Tanks,7.19,1,1,2
1002200,Vasilis,6.19,4,1,5
1002210,孤岛(Isolated Island),2.09,16,1,17
1002230,War of Three Kingdoms,2.09,1,6,7
1002270,PiiSim,2.89,1,0,1
1002280,The Far Kingdoms: Elements,5.19,8,2,10
1002290,某1种青春,0.00,103,4,107
1002310,The Childs Sight,7.19,3,0,3
1002360,バグダス - デバッガー検定 -,0.79,41,1,42
1002420,Agartha,7.19,3,1,4
1002490,Roulette Simulator 2,11.39,2,2,4
1002510,The Spell - A Kinetic Novel,3.99,10,0,10
1002520,Eggys Games Flash Collection,2.09,3,0,3
1002540,HA/CK,7.99,5,2,7
1002560,Tiny Snow,2.89,653,29,682
1002600,Temple of Pizza,0.00,3,1,4
1002630,AWAKE - Definitive Edition,2.19,20,6,26
1002650,Puttin' Around,3.99,0,2,2
1002660,MORGENSHTERN,4.79,9,5,14
1002670,SOF - RAIDERS,3.99,3,2,5
1002690,Hand of Horzasha,0.00,4,0,4
1002750,Ordo Et Chao: New World,9.29,1,2,3
1002800,Tsumi,1.69,9,0,9
1002830,Latte Stand Tycoon,2.09,8,4,12
1002850,古战三国 Ancient War: Three Kingdoms,0.00,34,23,57
1002860,Magus Over Fool,11.39,1,0,1
1002890,Galaxity,0.00,6,4,10
1002920,The Last Dinner,0.00,10,9,19
1002930,坦克大战：共和国之辉,0.00,40,7,47
1002950,Gravity Panda,3.99,0,1,1
1002960,Hentai NetWalk,0.79,12,6,18
1002970,Freefall 3050AD,1.99,0,1,1
1002980,Symploke: Legend of Gustavo Bueno (Chapter 3),1.69,1,0,1
1002,Rag Doll Kung Fu,5.99,40,17,57
1003020,Alluna and Brie,23.79,9,1,10
1003070,Groomer,0.79,3,2,5
1003230,AIRA VR,23.79,4,1,5
1003320,Nya Nya Nya Girls 2 (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),0.79,5,2,7
1003360,ШХД: ЗИМА / IT'S WINTER,7.19,201,88,289
1003400,The Lord of the Rings: Journeys in Middle-earth,0.00,17,5,22
1003450,Terrorarium,7.19,4,0,4
